threshold,passed_seed_count,minimum_seed_constraint_margin,mean_balanced_accuracy,minimum_worst_batch_engage_recall,minimum_worst_batch_noop_recall,minimum_worst_scenario_engage_recall,minimum_worst_scenario_noop_recall
-0.2760550379753113,0,-0.65,0.738384484228474,0.7142857142857143,0.0,0.7857142857142857,0.3448275862068966
-0.26494835317134857,0,-0.65,0.7398337595907929,0.7142857142857143,0.0,0.7857142857142857,0.3448275862068966
-0.2580588459968567,0,-0.65,0.7412830349531117,0.7142857142857143,0.0,0.7857142857142857,0.3448275862068966
-0.252385750412941,0,-0.65,0.7427323103154305,0.7142857142857143,0.0,0.7857142857142857,0.3448275862068966
-0.24867230653762817,0,-0.6222222222222222,0.7441815856777495,0.7142857142857143,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.2477494180202484,0,-0.6222222222222222,0.7456308610400683,0.7142857142857143,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.24642682075500488,0,-0.6222222222222222,0.7470801364023871,0.7142857142857143,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.24231839179992676,0,-0.6222222222222222,0.7485294117647059,0.7142857142857143,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.2349168360233307,0,-0.6222222222222222,0.746078431372549,0.6666666666666666,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.22728672623634338,0,-0.6222222222222222,0.7475277067348678,0.6666666666666666,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.22204118967056274,0,-0.6222222222222222,0.7489769820971867,0.6666666666666666,0.027777777777777776,0.7857142857142857,0.3448275862068966
-0.21546576917171478,0,-0.5944444444444444,0.7504262574595056,0.6666666666666666,0.05555555555555555,0.7857142857142857,0.3448275862068966
-0.20933780074119568,0,-0.5944444444444444,0.7518755328218244,0.6666666666666666,0.05555555555555555,0.7857142857142857,0.3448275862068966
-0.20490358769893646,0,-0.5666666666666667,0.7533248081841433,0.6666666666666666,0.08333333333333333,0.7857142857142857,0.3448275862068966
-0.20170478522777557,0,-0.5666666666666667,0.754774083546462,0.6666666666666666,0.08333333333333333,0.7857142857142857,0.3448275862068966
-0.20163790881633759,0,-0.538888888888889,0.7562233589087809,0.6666666666666666,0.1111111111111111,0.7857142857142857,0.3448275862068966
-0.2004692405462265,0,-0.538888888888889,0.7576726342710997,0.6666666666666666,0.1111111111111111,0.7857142857142857,0.3448275862068966
-0.19807955622673035,0,-0.5111111111111111,0.7591219096334186,0.6666666666666666,0.1388888888888889,0.7857142857142857,0.3448275862068966
-0.19450880587100983,0,-0.5111111111111111,0.7566709292412618,0.6666666666666666,0.1388888888888889,0.7857142857142857,0.3448275862068966
-0.19206371903419495,0,-0.5111111111111111,0.7581202046035805,0.6666666666666666,0.1388888888888889,0.7857142857142857,0.3448275862068966
-0.1879667043685913,0,-0.5111111111111111,0.7595694799658994,0.6666666666666666,0.1388888888888889,0.7857142857142857,0.3448275862068966
-0.1786310076713562,0,-0.5111111111111111,0.7610187553282183,0.6666666666666666,0.1388888888888889,0.7857142857142857,0.3793103448275862
-0.16546222567558289,0,-0.4833333333333334,0.762468030690537,0.6666666666666666,0.16666666666666666,0.7857142857142857,0.3793103448275862
-0.15492546558380127,0,-0.4555555555555556,0.7639173060528558,0.6666666666666666,0.19444444444444445,0.7857142857142857,0.3793103448275862
