method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,1-2-0,2,laser,1,1623,37,0.02279728897104128,1447,1410,0.9744298548721493,14,1615,0.0086687306501548,0.7218763351428205,0.2810798561330136,0.970598523999829,18,3898,0.004617752693689072
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,1-2-0,0,missile,2,1623,26,0.016019716574245224,1563,1537,0.9833653230966091,7,2284,0.003064798598949212,0.693439033857183,0.31234175811390236,0.8745268297227496,126,5706,0.022082018927444796
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,1-2-0,1,missile,0,2178,149,0.06841138659320478,489,340,0.6952965235173824,71,543,0.13075506445672191,0.7770178393234799,0.050564915652227975,0.3353842298143232,0,1346,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,1-2-0,2,laser,1,2178,88,0.04040404040404041,1710,1622,0.9485380116959065,50,1627,0.03073140749846343,0.7866173253746531,0.17131291169216298,0.9649519900337767,9,3707,0.0024278392230914487
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,1-2-0,0,missile,2,2178,26,0.011937557392102846,2100,2074,0.9876190476190476,7,3356,0.0020858164481525627,0.6890473843279424,0.36235914662967067,0.794647537629933,229,8135,0.028149969268592503
autoregressive_ppo_order_201,learning,medium,medium,2,2,2-0-1,2,laser,0,2317,243,0.10487699611566681,1816,1573,0.8661894273127754,95,1279,0.07427677873338545,0.7639813748619956,0.08254475746580478,0.5226470495148166,0,3556,0.0
autoregressive_ppo_order_201,learning,medium,medium,2,2,2-0-1,0,missile,1,2317,149,0.06430729391454466,319,170,0.5329153605015674,59,246,0.23983739837398374,0.7695478730771655,0.10316608999837205,0.4991761322658775,20,755,0.026490066225165563
autoregressive_ppo_order_201,learning,medium,medium,2,2,2-0-1,1,missile,2,2317,150,0.06473888649115235,215,65,0.3023255813953488,53,203,0.26108374384236455,0.746515564352618,0.10400096928511153,0.551918143798841,110,711,0.15471167369901548
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,2-0-1,2,laser,0,1722,150,0.08710801393728224,1512,1362,0.9007936507936508,62,1283,0.048324240062353856,0.7638967183833995,0.09026716667775461,0.424379468154392,0,3236,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,2-0-1,0,missile,1,1722,149,0.08652729384436701,260,111,0.4269230769230769,56,273,0.20512820512820512,0.7589586530334919,0.11969651431103727,0.5122732506656272,7,661,0.01059001512859304
autoregressive_ppo_order_201,learning,medium,time_pressure,2,2,2-0-1,1,missile,2,1722,150,0.08710801393728224,204,54,0.2647058823529412,63,233,0.2703862660944206,0.7640333627027068,0.10395616367758881,0.5889911764937036,87,683,0.1273792093704246
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,2-0-1,2,laser,0,2310,216,0.09350649350649351,1520,1304,0.8578947368421053,131,1218,0.10755336617405582,0.7937177230929984,0.07493449258051024,0.6063360595764631,0,2680,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,2-0-1,0,missile,1,2310,147,0.06363636363636363,330,183,0.5545454545454546,60,338,0.17751479289940827,0.7594046533947851,0.13677204686961697,0.5293518441678787,11,851,0.012925969447708578
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,2-0-1,1,missile,2,2310,150,0.06493506493506493,362,212,0.585635359116022,70,347,0.2017291066282421,0.7736458378555963,0.061280307618901284,0.5012362750380354,83,808,0.10272277227722772
