bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
4,sampled_engagement_action,47,20,time_pressure,0.4,0.45137791811151706,factorized_engagement_ar_ppo_order_012,0.44680851063829785,9,0.5
5,sampled_engagement_action,39,20,time_pressure,0.5,0.5427980178441757,factorized_engagement_ar_ppo_order_012,0.6153846153846154,9,0.6000000000000001
6,sampled_engagement_action,25,20,time_pressure,0.6000000000000001,0.6479438400268555,factorized_engagement_ar_ppo_order_012,0.72,9,0.7000000000000001
7,sampled_engagement_action,10,20,time_pressure,0.7000000000000001,0.728576397895813,factorized_engagement_ar_ppo_order_012,0.9,9,0.8
8,sampled_engagement_action,0,20,time_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,9,0.9
9,sampled_engagement_action,0,20,time_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,9,1.0
0,sampled_engagement_action,748,20,heterogeneity_pressure,0.0,0.06531472851766303,factorized_engagement_ar_ppo_order_012,0.07754010695187166,9,0.1
1,sampled_engagement_action,349,20,heterogeneity_pressure,0.1,0.14145936650413496,factorized_engagement_ar_ppo_order_012,0.16045845272206305,9,0.2
2,sampled_engagement_action,160,20,heterogeneity_pressure,0.2,0.2433197212405503,factorized_engagement_ar_ppo_order_012,0.225,9,0.30000000000000004
3,sampled_engagement_action,83,20,heterogeneity_pressure,0.30000000000000004,0.3485421419861805,factorized_engagement_ar_ppo_order_012,0.27710843373493976,9,0.4
4,sampled_engagement_action,54,20,heterogeneity_pressure,0.4,0.45396692830103413,factorized_engagement_ar_ppo_order_012,0.48148148148148145,9,0.5
5,sampled_engagement_action,46,20,heterogeneity_pressure,0.5,0.5442157322945802,factorized_engagement_ar_ppo_order_012,0.6521739130434783,9,0.6000000000000001
6,sampled_engagement_action,31,20,heterogeneity_pressure,0.6000000000000001,0.641560431449644,factorized_engagement_ar_ppo_order_012,0.6129032258064516,9,0.7000000000000001
7,sampled_engagement_action,26,20,heterogeneity_pressure,0.7000000000000001,0.752465926683866,factorized_engagement_ar_ppo_order_012,0.7307692307692307,9,0.8
8,sampled_engagement_action,12,20,heterogeneity_pressure,0.8,0.8252554436524709,factorized_engagement_ar_ppo_order_012,0.8333333333333334,9,0.9
9,sampled_engagement_action,0,20,heterogeneity_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,9,1.0
0,sampled_engagement_action,0,20,medium,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.1
1,sampled_engagement_action,0,20,medium,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.2
2,sampled_engagement_action,0,20,medium,0.2,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.30000000000000004
3,sampled_engagement_action,0,20,medium,0.30000000000000004,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.4
4,sampled_engagement_action,0,20,medium,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.5
5,sampled_engagement_action,188,20,medium,0.5,0.5771948200591067,factorized_engagement_ar_ppo_order_012,0.6436170212765957,10,0.6000000000000001
6,sampled_engagement_action,294,20,medium,0.6000000000000001,0.6262070283192356,factorized_engagement_ar_ppo_order_012,0.6632653061224489,10,0.7000000000000001
7,sampled_engagement_action,0,20,medium,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.8
8,sampled_engagement_action,0,20,medium,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.9
9,sampled_engagement_action,0,20,medium,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,10,1.0
0,sampled_engagement_action,0,20,time_pressure,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.1
1,sampled_engagement_action,0,20,time_pressure,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.2
2,sampled_engagement_action,0,20,time_pressure,0.2,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.30000000000000004
3,sampled_engagement_action,0,20,time_pressure,0.30000000000000004,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.4
4,sampled_engagement_action,0,20,time_pressure,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.5
5,sampled_engagement_action,330,20,time_pressure,0.5,0.5720729307694868,factorized_engagement_ar_ppo_order_012,0.5454545454545454,10,0.6000000000000001
6,sampled_engagement_action,215,20,time_pressure,0.6000000000000001,0.6219669500062632,factorized_engagement_ar_ppo_order_012,0.6186046511627907,10,0.7000000000000001
7,sampled_engagement_action,0,20,time_pressure,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.8
8,sampled_engagement_action,0,20,time_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.9
9,sampled_engagement_action,0,20,time_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,10,1.0
0,sampled_engagement_action,0,20,heterogeneity_pressure,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.1
1,sampled_engagement_action,0,20,heterogeneity_pressure,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.2
2,sampled_engagement_action,0,20,heterogeneity_pressure,0.2,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.30000000000000004
3,sampled_engagement_action,0,20,heterogeneity_pressure,0.30000000000000004,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.4
4,sampled_engagement_action,0,20,heterogeneity_pressure,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.5
5,sampled_engagement_action,221,20,heterogeneity_pressure,0.5,0.580411301748785,factorized_engagement_ar_ppo_order_012,0.5339366515837104,10,0.6000000000000001
6,sampled_engagement_action,335,20,heterogeneity_pressure,0.6000000000000001,0.6222149414802665,factorized_engagement_ar_ppo_order_012,0.5970149253731343,10,0.7000000000000001
7,sampled_engagement_action,0,20,heterogeneity_pressure,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.8
8,sampled_engagement_action,0,20,heterogeneity_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,10,0.9
9,sampled_engagement_action,0,20,heterogeneity_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,10,1.0
